metodo,sample_idx,pointing_game,sparseness,pg@3
Gradiente,1824,1,0.6408512273131839,1
Gradiente,409,1,0.7615490740629716,1
Gradiente,4506,1,0.6088764231064443,1
Gradiente,4012,1,0.6411009019477873,1
Gradiente,3657,1,0.64112222080333,1
Gradiente,2286,1,0.6571864115076307,1
Gradiente,1679,1,0.6714637569993906,1
Gradiente,8935,1,0.6651448615797524,1
Gradiente,1424,1,0.7644018235233554,1
Gradiente,9674,1,0.7348060330279942,1
Gradiente,6912,1,0.6822100883200335,1
Gradiente,520,1,0.6929352542529916,1
Gradiente,488,1,0.6924686110914513,1
Gradiente,1535,1,0.6660462284771305,1
Gradiente,3582,1,0.7694101603828625,1
Gradiente,3811,1,0.6463079921183192,1
Gradiente,8279,1,0.6406398400776936,1
Gradiente,9863,1,0.7081237916670866,1
Gradiente,434,1,0.7082666036772882,1
Gradiente,9195,1,0.6538675256409046,1
Gradiente,3257,1,0.627406778050591,1
Gradiente,8928,1,0.6396412802660496,1
Gradiente,6873,1,0.688183506207616,1
Gradiente,3611,1,0.6127596274004234,1
Gradiente,7359,1,0.6784547803523566,1
Gradiente,9654,1,0.6338223451329443,1
Gradiente,4557,1,0.6818099654928451,1
Gradiente,106,0,0.6145433834828906,1
Gradiente,2615,1,0.6790658564958789,1
Gradiente,6924,1,0.670433541520769,1
Gradiente,5574,0,0.6021179891052839,0
Gradiente,4552,1,0.633995807713589,1
Gradiente,2547,1,0.6781429866486348,1
Gradiente,3527,0,0.6748131638254249,0
Gradiente,5514,1,0.7661878820927182,1
Gradiente,1674,1,0.7661750006633303,1
Gradiente,1519,0,0.691014240010722,1
Gradiente,6224,1,0.7508387544913206,1
Gradiente,1584,1,0.6664288243923511,1
Gradiente,5881,1,0.6635841094866453,1
Gradiente,5635,1,0.6602394959088296,1
Gradiente,9891,1,0.6638191948061876,1
Gradiente,4333,1,0.6776955933070903,1
Gradiente,711,1,0.6343414303186836,1
Gradiente,7527,1,0.7326751159384788,1
Gradiente,8785,1,0.6627850778749595,1
Gradiente,2045,0,0.642556907166171,1
Gradiente,6201,1,0.6695389364596929,1
Gradiente,1291,1,0.6301914021352064,1
Gradiente,9044,1,0.6504438701433402,1
Gradiente,4803,0,0.6805837591957271,1
Gradiente,5925,1,0.667080911034402,1
Gradiente,9459,1,0.6381845776246877,1
Gradiente,3150,1,0.6633568390707556,1
Gradiente,1139,1,0.7494171793964881,1
Gradiente,750,1,0.6773031865772312,1
Gradiente,3733,1,0.7382697583753179,1
Gradiente,4741,1,0.6499728108109268,1
Gradiente,1307,1,0.6575789693858491,1
Gradiente,3814,1,0.659073443077185,1
Gradiente,1654,1,0.656807343684249,1
Gradiente,6227,1,0.677158801868859,1
Gradiente,4554,1,0.622132391172117,1
Gradiente,7428,1,0.6839808693695648,1
Gradiente,5977,1,0.6569925274345474,1
Gradiente,2664,0,0.602982428181297,1
